"payment_month","user_id","game_name","total_revenue","new_mrr","expansion_revenue","contraction_revenue","back_from_churn_revenue","churned_revenue","churn_month","language","has_older_device_model","age"
2022-12-01,"4b7l8C489HEJirtoe7xtFg==",game 3,21.75,,,-9.51,,21.75,2023-01-01,uk,true,20
2022-03-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,17.79,17.79,,,,,,ru,false,20
2022-04-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,125.97,,108.18,,,,,ru,false,20
2022-05-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,91.68,,,-34.29,,,,ru,false,20
2022-06-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,27.87,,,-63.81,,,,ru,false,20
2022-07-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,40.71,,12.84,,,,,ru,false,20
2022-08-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,47.91,,7.20,,,,,ru,false,20
2022-09-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,23.34,,,-24.57,,23.34,2022-10-01,ru,false,20
2022-12-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,92.10,,,,92.10,92.10,2023-01-01,ru,false,20
2022-09-01,"4EiWC2ewiX2A7i9NuBAefQ==",game 3,18.69,18.69,,,,,,uk,true,18
2022-10-01,"4EiWC2ewiX2A7i9NuBAefQ==",game 3,57.39,,38.70,,,,,uk,true,18
2022-11-01,"4EiWC2ewiX2A7i9NuBAefQ==",game 3,29.79,,,-27.60,,29.79,2022-12-01,uk,true,18
2022-05-01,"4oH5e29koOH9zNYW8Kwcsg==",game 3,12.99,12.99,,,,12.99,2022-06-01,uk,false,28
2022-07-01,"4oH5e29koOH9zNYW8Kwcsg==",game 3,18.06,,,,18.06,,,uk,false,28
2022-08-01,"4oH5e29koOH9zNYW8Kwcsg==",game 3,12.51,,,-5.55,,12.51,2022-09-01,uk,false,28
2022-06-01,"4pssft0TgDfiQexjbe25lw==",game 3,14.76,14.76,,,,,,ru,false,26
2022-07-01,"4pssft0TgDfiQexjbe25lw==",game 3,14.43,,,-0.33,,,,ru,false,26
2022-08-01,"4pssft0TgDfiQexjbe25lw==",game 3,59.40,,44.97,,,59.40,2022-09-01,ru,false,26
2022-11-01,"4pssft0TgDfiQexjbe25lw==",game 3,37.80,,,,37.80,37.80,2022-12-01,ru,false,26
2022-11-01,"54ouP7lBhVCeV8ftS1Oj4Q==",game 3,29.22,29.22,,,,,,ru,false,21
2022-12-01,"54ouP7lBhVCeV8ftS1Oj4Q==",game 3,28.23,,,-0.99,,28.23,2023-01-01,ru,false,21
2022-07-01,"5a/eDajN+4bJdigfI5TWoQ==",game 3,12.87,12.87,,,,12.87,2022-08-01,ru,false,17
2022-12-01,"5fGaUgWk82R8c6U6A5d9pg==",game 3,17.28,17.28,,,,17.28,2023-01-01,uk,false,31
2022-08-01,"5n2VR2SS79K3vJ0/V2A8RQ==",game 3,47.13,47.13,,,,,,ru,false,27
2022-09-01,"5n2VR2SS79K3vJ0/V2A8RQ==",game 3,32.04,,,-15.09,,32.04,2022-10-01,ru,false,27
2022-10-01,"6NexxpTuLaFmuoksJ0l8rg==",game 3,19.17,19.17,,,,19.17,2022-11-01,uk,false,24
2022-12-01,"6NexxpTuLaFmuoksJ0l8rg==",game 3,102.84,,,,102.84,102.84,2023-01-01,uk,false,24
2022-05-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,22.74,22.74,,,,,,uk,false,19
2022-06-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,28.95,,6.21,,,,,uk,false,19
2022-07-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,118.83,,89.88,,,,,uk,false,19
2022-08-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,21.87,,,-96.96,,,,uk,false,19
2022-09-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,41.55,,19.68,,,,,uk,false,19
2022-10-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,151.68,,110.13,,,,,uk,false,19
2022-11-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,95.43,,,-56.25,,,,uk,false,19
2022-12-01,"6We7zBO7mVbNxGEl/xPKVg==",game 3,75.81,,,-19.62,,75.81,2023-01-01,uk,false,19
2022-10-01,/70HXakPPmIGA9K58CIOug==,game 3,15.48,15.48,,,,,,uk,false,18
2022-11-01,/70HXakPPmIGA9K58CIOug==,game 3,12.51,,,-2.97,,12.51,2022-12-01,uk,false,18
2022-03-01,"72brUr/DKItStlTen5pHYg==",game 3,24.15,24.15,,,,24.15,2022-04-01,uk,false,24
2022-05-01,"72brUr/DKItStlTen5pHYg==",game 3,19.92,,,,19.92,,,uk,false,24
2022-06-01,"72brUr/DKItStlTen5pHYg==",game 3,86.91,,66.99,,,,,uk,false,24
2022-07-01,"72brUr/DKItStlTen5pHYg==",game 3,37.11,,,-49.80,,,,uk,false,24
2022-08-01,"72brUr/DKItStlTen5pHYg==",game 3,30.63,,,-6.48,,,,uk,false,24
2022-09-01,"72brUr/DKItStlTen5pHYg==",game 3,18.3,,,-12.33,,,,uk,false,24
2022-10-01,"72brUr/DKItStlTen5pHYg==",game 3,31.98,,13.68,,,,,uk,false,24
2022-11-01,"72brUr/DKItStlTen5pHYg==",game 3,13.56,,,-18.42,,13.56,2022-12-01,uk,false,24
