"payment_month","user_id","game_name","revenue_amount","revenue_type","language","has_older_device_model","age"
2022-09-01,"7luG+f1d+Ri4AjeMbFR1Xw==",game 3,15.06,revenue,uk,false,29
2022-10-01,"7RkS5ikrXwWByJobMXv2sA==",game 3,25.89,revenue,ru,false,21
2022-11-01,"7RkS5ikrXwWByJobMXv2sA==",game 3,87.75,revenue,ru,false,21
2022-12-01,"7RkS5ikrXwWByJobMXv2sA==",game 3,66.93,revenue,ru,false,21
2022-03-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,34.74,revenue,ru,false,22
2022-04-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,105.96,revenue,ru,false,22
2022-05-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,62.61,revenue,ru,false,22
2022-07-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,82.32,revenue,ru,false,22
2022-08-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,55.56,revenue,ru,false,22
2022-09-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,22.71,revenue,ru,false,22
2022-10-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,37.44,revenue,ru,false,22
2022-11-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,84.15,revenue,ru,false,22
2022-12-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,15.99,revenue,ru,false,22
2022-07-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,31.59,revenue,uk,false,21
2022-08-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,82.08,revenue,uk,false,21
2022-09-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,73.29,revenue,uk,false,21
2022-10-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,158.16,revenue,uk,false,21
2022-11-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,23.49,revenue,uk,false,21
2022-12-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,47.31,revenue,uk,false,21
2022-09-01,"7YaJfLI3RPGUEN2esrQxsQ==",game 3,35.28,revenue,ru,false,15
2022-12-01,"7YaJfLI3RPGUEN2esrQxsQ==",game 3,26.67,revenue,ru,false,15
2022-07-01,"7zai/c69uF/NhB95HgKuYw==",game 3,62.25,revenue,uk,false,16
2022-08-01,"7zai/c69uF/NhB95HgKuYw==",game 3,75.15,revenue,uk,false,16
2022-09-01,"7zai/c69uF/NhB95HgKuYw==",game 3,48.48,revenue,uk,false,16
2022-10-01,"7zai/c69uF/NhB95HgKuYw==",game 3,22.77,revenue,uk,false,16
2022-11-01,"7zai/c69uF/NhB95HgKuYw==",game 3,41.04,revenue,uk,false,16
2022-04-01,"7zbxKst2yi3pfdVI8iEChw==",game 3,23.31,revenue,ru,false,15
2022-06-01,"7zbxKst2yi3pfdVI8iEChw==",game 3,13.05,revenue,ru,false,15
2022-08-01,"7zbxKst2yi3pfdVI8iEChw==",game 3,18.3,revenue,ru,false,15
2022-12-01,"7zbxKst2yi3pfdVI8iEChw==",game 3,13.05,revenue,ru,false,15
